branch_name|last_commit_date|commits_ahead_main|commits_behind_main|issue_number|status
dagbft-integration|2026-04-08|457|6||ready
issue-3892-10k-tps-infrastructure|2026-04-08|271|6|3892|ready
optimizations/3888-3825-solid|2026-04-08|19|6|3888|ready
main|2026-04-08|0|0||merged
feature/issue-3862|2026-03-27|4454|4230|3862|stale
partial-merkle-tree|2026-03-26|7|37||active
issue-3888-bpt-parallel-updates|2026-03-26|413|6|3888|ready
fix/dennis-mining-correct-crypto|2026-03-26|286|6||ready
issue-3877-replace-math-rand|2026-03-25|4453|4230|3877|stale
issue-3876-race-conditions-consensus|2026-03-25|4452|4230|3876|stale
issue-3880-remove-cert-verification-fallback|2026-03-25|4451|4230|3880|stale
issue-3801-dagbft-validator-configuration|2026-03-25|4451|4230|3801|stale
feature/issue-cleanup-64-issues|2026-03-25|264|6||ready
issue-3875-per-peer-vote-rate-limiting|2026-03-25|231|6|3875|ready
test/all-optimizations|2026-03-25|227|6||ready
issue-3872-timestamp-replay-protection|2026-03-25|227|6|3872|ready
issue-3878-lock-copying-violations|2026-03-25|226|6|3878|ready
issue-3881-goroutine-leak-protection|2026-03-25|225|6|3881|ready
issue-3880-remove-certificate-verification-fallback|2026-03-25|225|6|3880|ready
test/blocking-only-3869-3870|2026-03-25|225|6|3869|ready
security/blocking-fixes-3869-3870|2026-03-25|225|6|3869|ready
issue-3873-optimize-lru-eviction-locking|2026-03-25|224|6|3873|ready
issue-3871-key-rotation|2026-03-25|224|6|3871|ready
issue-3879-add-request-body-size-limits|2026-03-25|223|6|3879|ready
feature/issue-3874|2026-03-25|223|6|3874|ready
issue-3869-fix-duplicate-vote-spam-attack|2026-03-25|222|6|3869|ready
issue-3870-fix-vote-verification-cpu-exhaustion|2026-03-24|221|6|3870|ready
test/blocking-integration-3869-3870|2026-03-24|221|6|3869|ready
issue-3862-rebase|2026-03-23|4450|4230|3862|stale
feature/issue-3863|2026-03-23|215|6|3863|ready
feature/issue-3858|2026-03-23|1|6|3858|ready
feature/issue-3857|2026-03-23|1|6|3857|ready
feature/issue-3824|2026-03-23|1|6|3824|ready
feature/issue-3847|2026-03-22|2|6|3847|ready
feature/issue-3845|2026-03-22|2|6|3845|ready
feature/issue-3844|2026-03-22|2|6|3844|ready
feature/issue-3843|2026-03-22|2|6|3843|ready
issue-3843-configurable-load-generator|2026-03-22|177|6|3843|ready
issue-3842-test-data-initialization|2026-03-22|176|6|3842|ready
issue-3848-cleanup-reset-script|2026-03-22|175|6|3848|ready
issue-3841-network-monitor-disk-space|2026-03-22|174|6|3841|ready
issue-3840-docker-network-deployment|2026-03-22|173|6|3840|ready
issue-3839-dedicated-testing-wallet|2026-03-22|172|6|3839|ready
feature/issue-3854|2026-03-22|1|6|3854|ready
feature/issue-3846|2026-03-22|1|6|3846|ready
issue/dagbft-3825|2026-03-20|162|6|3825|ready
issue/dagbft-3829|2026-03-20|161|6|3829|ready
issue/dagbft-3828|2026-03-20|161|6|3828|ready
issue/dagbft-3827|2026-03-20|161|6|3827|ready
issue/dagbft-3826|2026-03-20|161|6|3826|ready
issue/dagbft-3830|2026-03-20|159|6|3830|ready
issue/3826|2026-03-20|158|6|3826|ready
issue/3825|2026-03-20|158|6|3825|ready
issue/3824|2026-03-19|157|6|3824|ready
issue/dagbft-3823|2026-03-19|125|6|3823|ready
issue/dagbft-3822|2026-03-19|125|6|3822|ready
issue/dagbft-3821|2026-03-19|125|6|3821|ready
issue/dagbft-3820|2026-03-19|125|6|3820|ready
issue/dagbft-3819|2026-03-19|125|6|3819|ready
issue/dagbft-3818|2026-03-19|125|6|3818|ready
fix/lint-cleanup|2026-03-19|121|6||ready
issue/dagbft-3817|2026-03-18|122|6|3817|ready
issue/dagbft-3816|2026-03-18|122|6|3816|ready
issue/worker-issue-3795|2026-03-17|99|6|3795|ready
issue/worker-issue-3794|2026-03-17|91|6|3794|ready
issue/worker-issue-3791|2026-03-17|91|6|3791|ready
issue/worker-issue-3790|2026-03-17|91|6|3790|ready
issue/worker-issue-3788|2026-03-17|91|6|3788|ready
issue/worker-issue-3787|2026-03-17|79|6|3787|ready
issue/worker-issue-3786|2026-03-17|79|6|3786|ready
issue/worker-issue-3785|2026-03-17|79|6|3785|ready
issue/worker-issue-3784|2026-03-17|79|6|3784|ready
issue/worker-issue-3783|2026-03-17|79|6|3783|ready
issue3798|2026-03-17|6|6|3798|ready
issue3797|2026-03-17|2|6|3797|ready
issue3796|2026-03-17|2|6|3796|ready
issue/worker-issue-3812|2026-03-17|118|6|3812|ready
issue/worker-issue-3808|2026-03-17|117|6|3808|ready
issue/worker-issue-3804|2026-03-17|101|6|3804|ready
issue/worker-issue-3797|2026-03-17|101|6|3797|ready
issue/worker-issue-3751|2026-03-17|101|6|3751|ready
issue/worker-issue-3749|2026-03-17|101|6|3749|ready
issue/worker-issue-3748|2026-03-17|101|6|3748|ready
issue/worker-issue-3747|2026-03-17|101|6|3747|ready
issue/worker-issue-3746|2026-03-17|101|6|3746|ready
