issue_number|first_mention|last_activity|associated_branches|commit_count
3826|2021-09-11|2026-04-08|issue/dagbft-3826|10
3825|2021-11-22|2026-04-08|issue/dagbft-3825;optimizations/3888-3825-solid|12
3892|2021-09-18|2026-04-08|issue-3892-10k-tps-infrastructure|13
3888|2021-12-07|2026-04-08|issue-3888-bpt-parallel-updates|45
3875|2023-03-10|2026-04-08|issue-3875-per-peer-vote-rate-limiting|7
3873|2026-03-25|2026-04-08|issue-3873-optimize-lru-eviction-locking|6
3869|2021-12-28|2026-04-08|issue-3869-fix-duplicate-vote-spam-attack;security/blocking-fixes-3869-3870;test/blocking-integration-3869-3870;test/blocking-only-3869-3870|12
3824|2021-11-24|2026-04-08|feature/issue-3824|12
3868|2022-07-01|2026-04-08||7
3866|2024-06-10|2026-04-08||5
3860|2021-12-03|2026-04-08||11
3862|2021-09-24|2026-03-27|feature/issue-3862;issue-3862-rebase|14
3887|2021-10-26|2026-03-26||8
3666|2021-09-30|2026-03-26||8
3676|2021-08-18|2026-03-26||5
3713|2021-10-23|2026-03-26|3713-add-version-commands|9
3705|2021-10-26|2026-03-26|3705-add-transaction-whitelist-to-keypage|6
3668|2021-11-24|2026-03-26||15
3675|2021-09-24|2026-03-26||12
3709|2021-11-29|2026-03-26||11
3669|2021-09-22|2026-03-26||10
3823|2022-07-06|2026-03-25|issue/dagbft-3823|25
3817|2021-10-30|2026-03-25|issue/dagbft-3817|12
3881|2021-11-02|2026-03-25|issue-3881-goroutine-leak-protection|4
3880|2021-11-22|2026-03-25|issue-3880-remove-certificate-verification-fallback;issue-3880-remove-cert-verification-fallback|5
3879|2022-06-21|2026-03-25|issue-3879-add-request-body-size-limits|8
3878|2022-01-11|2026-03-25|issue-3878-lock-copying-violations|10
3876|2021-11-24|2026-03-25|issue-3876-race-conditions-consensus|4
3872|2023-09-22|2026-03-25|issue-3872-timestamp-replay-protection|8
3871|2021-11-29|2026-03-25|issue-3871-key-rotation|10
3870|2021-10-06|2026-03-25|issue-3870-fix-vote-verification-cpu-exhaustion;security/blocking-fixes-3869-3870;test/blocking-integration-3869-3870;test/blocking-only-3869-3870|12
3854|2021-11-29|2026-03-25|feature/issue-3854|10
3813|2021-12-04|2026-03-25||9
3852|2022-10-26|2026-03-25||8
3849|2021-12-23|2026-03-25||8
3731|2021-12-10|2026-03-25||8
3851|2021-10-03|2026-03-25||7
3864|2021-10-18|2026-03-25||6
3803|2021-11-18|2026-03-25||6
3800|2023-06-13|2026-03-25||5
3850|2022-04-02|2026-03-25||15
3815|2021-12-03|2026-03-25||12
3802|2021-09-28|2026-03-25||12
3855|2022-08-04|2026-03-25||10
3853|2021-10-13|2026-03-25||10
3742|2021-07-10|2026-03-25||10
3863|2021-10-10|2026-03-23|feature/issue-3863|8
3858|2021-09-02|2026-03-23|feature/issue-3858|6
3857|2026-03-23|2026-03-23|feature/issue-3857|4
3867|2021-11-29|2026-03-23||7
3865|2023-06-13|2026-03-23||5
3848|2021-10-28|2026-03-22|issue-3848-cleanup-reset-script|11
3842|2021-08-18|2026-03-22|issue-3842-test-data-initialization|10
3841|2021-09-24|2026-03-22|issue-3841-network-monitor-disk-space|6
3840|2022-01-04|2026-03-22|issue-3840-docker-network-deployment|13
3839|2021-10-05|2026-03-22|issue-3839-dedicated-testing-wallet|10
3847|2022-09-16|2026-03-22|feature/issue-3847|7
3846|2022-06-21|2026-03-22|feature/issue-3846|9
3845|2021-09-11|2026-03-22|feature/issue-3845|10
3844|2021-12-12|2026-03-22|feature/issue-3844|9
3843|2021-09-18|2026-03-22|feature/issue-3843;issue-3843-configurable-load-generator|11
3838|2022-02-14|2026-03-22||14
3830|2023-10-20|2026-03-21|issue/dagbft-3830|6
3829|2021-09-29|2026-03-21|issue/dagbft-3829|7
3828|2021-10-04|2026-03-21|issue/dagbft-3828|11
